29000001,9.00,7.00,8.80,8.75,4.00,4.25,5.67,null,null,null,null
29000002,2.80,4.25,null,null,null,null,null,6.75,6.25,null,4.33
29000003,4.40,7.25,4.00,null,null,null,null,7.00,8.25,null,5.08
29000004,7.60,null,null,6.75,8.00,2.75,5.83,null,null,null,null
29000005,7.80,9.00,8.60,null,null,null,null,4.00,7.25,9.50,6.92
29000006,9.80,7.75,6.80,7.25,8.25,4.50,6.67,null,null,null,null
29000007,9.40,7.25,10.00,8.50,4.50,4.00,5.67,null,null,null,null
29000008,9.00,7.25,9.60,8.00,5.75,3.50,5.75,null,null,null,null
29000009,8.80,9.00,9.40,null,null,null,null,5.50,7.75,8.50,7.25
29000010,8.00,8.00,9.60,5.25,5.25,4.50,5.00,null,null,null,null
29000011,9.00,7.25,7.00,8.25,8.25,3.25,6.58,null,null,null,null
29000012,9.40,7.00,8.40,8.75,8.75,4.50,7.33,null,null,null,null
29000013,8.40,8.00,6.60,5.25,7.75,7.75,6.92,null,null,null,null
29000014,8.60,8.75,9.80,null,null,null,null,6.25,7.25,8.75,7.42
29000015,8.00,7.25,8.40,6.75,3.25,3.00,4.33,null,null,null,null
29000016,8.20,8.25,9.20,null,null,null,null,6.50,7.25,8.00,7.25
29000017,9.60,9.00,9.20,null,null,null,null,4.00,6.50,8.75,6.42
29000018,8.80,6.50,6.00,6.75,8.50,3.75,6.33,null,null,null,null
29000019,8.60,9.00,9.40,null,null,null,null,5.75,7.00,9.00,7.25
29000020,8.60,8.50,9.60,null,null,null,null,4.25,4.75,8.75,5.92
29000021,9.60,8.50,8.80,8.50,2.75,2.25,4.50,null,null,null,null
29000022,7.60,8.00,9.80,null,null,null,null,5.75,8.75,7.50,7.33
29000023,8.20,7.75,9.00,4.75,7.75,3.50,5.33,null,null,null,null
29000024,8.80,null,8.60,8.75,null,null,2.92,null,null,null,null
29000025,8.60,5.50,9.40,8.00,4.25,3.75,5.33,null,null,null,null
29000026,4.20,3.25,null,null,null,null,null,4.75,6.75,null,3.83
29000027,8.20,8.00,9.80,8.25,6.00,5.50,6.58,null,null,null,null
29000028,2.80,2.75,null,null,null,null,null,3.75,4.25,null,2.67
29000029,8.80,6.50,6.80,8.00,8.25,3.50,6.58,null,null,null,null
29000030,8.60,5.83,8.80,8.25,4.00,6.50,6.25,null,null,null,null
29000031,8.60,8.00,7.80,7.75,8.75,4.50,7.00,null,null,null,null
29000032,8.40,8.75,7.00,null,null,null,null,8.50,7.75,8.75,8.33
29000033,8.20,8.00,6.00,null,null,null,null,5.50,7.25,7.75,6.83
29000034,7.00,6.75,null,null,null,null,null,4.25,7.50,null,3.92
29000035,7.60,8.25,8.20,null,null,null,null,8.25,7.00,9.00,8.08
29000036,9.00,6.75,8.80,4.25,7.50,3.50,5.08,null,null,null,null
29000037,7.20,8.75,9.20,null,null,null,null,3.50,5.75,7.00,5.42
29000038,8.40,5.75,9.20,8.25,4.25,4.50,5.67,null,null,null,null
29000039,4.40,3.75,null,null,null,null,null,4.25,6.50,null,3.58
29000040,3.80,4.25,null,null,null,null,null,5.00,6.50,null,3.83
29000041,9.00,9.25,9.40,null,null,null,null,6.00,6.00,8.50,6.83
29000042,8.60,9.25,9.40,null,null,null,null,6.75,9.00,9.50,8.42
29000043,9.00,8.75,9.60,null,null,null,null,2.50,6.00,8.00,5.50
29000044,7.20,8.50,9.20,null,null,null,null,4.25,6.25,7.75,6.08
29000045,8.80,9.00,9.20,null,null,null,null,7.00,8.25,9.50,8.25
29000046,8.40,8.75,8.80,null,null,null,null,2.00,4.75,5.50,4.08
29000047,7.80,9.00,6.60,null,null,null,null,6.25,7.25,9.00,7.50
29000048,6.80,8.00,9.20,null,null,null,null,4.50,7.75,9.50,7.25
29000049,8.40,8.50,7.60,null,null,null,null,5.50,6.50,8.25,6.75
29000050,8.80,8.25,8.80,8.25,8.50,5.25,7.33,null,null,null,null
29000051,8.80,8.25,10.00,4.75,8.25,3.75,5.58,null,null,null,null
29000052,8.20,3.75,7.60,8.00,4.50,2.75,5.08,null,null,null,null
29000053,9.20,8.50,10.00,8.25,4.75,5.75,6.25,null,null,null,null
29000054,7.60,8.25,8.20,null,null,null,null,4.25,7.00,9.00,6.75
29000055,5.40,7.25,null,null,null,null,null,3.00,5.75,null,2.92
29000056,8.20,4.00,5.60,6.50,7.50,4.25,6.08,null,null,null,null
29000057,8.20,5.75,8.60,8.50,4.75,4.50,5.92,null,null,null,null
29000058,7.80,8.00,6.80,null,null,null,null,1.75,5.25,6.75,4.58
29000059,7.80,7.50,6.80,2.50,8.25,9.00,6.58,null,null,null,null
29000060,9.00,8.25,8.80,8.25,5.00,5.00,6.08,null,null,null,null
29000061,9.00,7.50,9.40,8.25,9.25,6.50,8.00,null,null,null,null
29000062,8.00,8.25,9.80,null,null,null,null,4.00,7.25,8.75,6.67
29000063,6.00,8.00,null,null,null,null,null,7.25,7.25,null,4.83
29000064,8.60,8.50,8.60,7.25,4.75,3.50,5.17,null,null,null,null
29000065,5.40,7.75,null,null,null,null,null,6.75,7.75,null,4.83
29000066,7.80,7.75,8.00,null,null,null,null,5.00,7.50,9.25,7.25
29000067,8.00,9.00,8.60,null,null,null,null,4.00,5.50,7.75,5.75
29000068,4.80,6.25,4.60,null,null,null,null,3.00,5.75,null,2.92
29000069,7.80,7.50,8.80,7.25,5.25,4.50,5.67,null,null,null,null
29000070,8.00,8.75,9.40,null,null,null,null,null,null,null,null
29000071,4.60,5.75,null,null,null,null,null,7.00,7.50,null,4.83
29000072,null,4.75,null,null,null,null,null,null,null,null,null
29000073,3.20,3.50,null,null,null,null,null,3.25,6.00,null,3.08
29000074,5.40,null,4.60,3.75,null,null,1.25,null,null,null,null
29000075,8.60,5.50,9.80,8.75,4.25,3.75,5.58,null,null,null,null
29000076,9.20,6.75,9.60,8.25,4.50,4.75,5.83,null,null,null,null
29000077,8.80,null,null,7.25,7.50,null,4.92,null,null,null,null
29000078,3.80,6.25,null,null,null,null,null,2.25,5.75,null,2.67
null,null,null,null,null,null,null,null,null,null,null,null
29000080,8.80,7.00,7.80,6.75,5.00,3.75,5.17,null,null,null,null
29000081,8.40,9.00,9.60,null,null,null,null,7.00,7.25,8.75,7.67
29000082,8.40,7.75,10.00,8.50,7.00,6.50,7.33,null,null,null,null
29000083,6.20,7.00,null,null,null,null,null,7.00,7.50,null,4.83
29000084,8.60,6.75,8.20,8.50,8.25,4.00,6.92,null,null,null,null
29000085,8.80,8.75,9.40,null,null,null,null,null,null,null,null
29000086,9.20,7.00,7.20,7.25,8.00,5.00,6.75,null,null,null,null
29000087,8.20,7.25,8.80,4.50,3.25,3.50,3.75,null,null,null,null
29000088,5.80,5.00,null,null,null,null,null,6.50,6.50,null,4.33
29000089,9.00,7.50,5.40,8.00,9.50,6.00,7.83,null,null,null,null
29000090,8.60,6.75,8.60,4.75,8.00,4.00,5.58,null,null,null,null
29000091,2.60,5.50,null,null,null,null,null,4.00,3.75,null,2.58
29000092,null,7.75,null,null,null,null,null,8.50,8.25,null,5.58
29000093,3.40,2.00,null,null,null,null,null,2.25,4.75,null,2.33
29000094,9.60,7.75,9.20,7.75,4.00,5.75,5.83,null,null,null,null
29000095,6.00,7.75,null,null,null,null,null,8.50,9.25,null,5.92
29000096,8.60,7.50,8.00,6.75,5.25,4.75,5.58,null,null,null,null
29000097,9.00,8.00,9.60,7.50,5.00,6.00,6.17,null,null,null,null
29000098,8.00,8.00,9.20,4.75,8.50,5.00,6.08,null,null,null,null
29000099,7.80,9.25,9.00,null,null,null,null,7.00,5.75,7.75,6.83
29000100,9.00,9.00,9.60,null,null,null,null,6.50,7.50,9.00,7.67
29000101,8.20,9.00,8.20,null,null,null,null,3.50,6.00,8.50,6.00
29000102,8.60,8.75,9.20,null,null,null,null,4.00,5.75,7.75,5.83
29000103,8.40,8.00,8.60,3.50,8.00,3.00,4.83,null,null,null,null
29000104,9.00,8.50,9.60,8.25,4.25,5.00,5.83,null,null,null,null
29000105,8.40,8.75,9.20,null,null,null,null,4.00,4.75,7.75,5.50
29000106,8.40,9.00,9.20,null,null,null,null,4.50,7.25,8.50,6.75
29000107,9.00,8.50,8.80,null,null,null,null,3.00,5.00,8.25,5.42
29000108,8.80,7.50,6.80,7.50,8.25,2.25,6.00,null,null,null,null
29000109,8.20,6.00,9.20,8.25,5.00,3.50,5.58,null,null,null,null
29000110,3.20,5.25,null,null,null,null,null,4.25,5.75,null,3.33
29000111,5.40,7.75,null,null,null,null,null,4.50,7.50,null,4.00
29000112,8.80,7.00,6.20,3.25,8.75,9.75,7.25,null,null,null,null
29000113,8.00,8.50,9.20,4.25,3.00,4.25,3.83,null,null,null,null
29000114,8.00,6.00,8.40,null,null,null,null,7.75,7.50,8.50,7.92
29000115,3.20,7.50,null,null,null,null,null,6.50,7.25,null,4.58
29000116,9.40,6.75,8.40,8.00,8.25,4.25,6.83,null,null,null,null
29000117,4.00,4.00,null,null,null,null,null,5.50,7.75,null,4.42
29000118,9.60,null,9.40,9.00,null,null,3.00,null,null,null,null
29000119,7.80,7.50,8.80,7.75,5.00,4.00,5.58,null,null,null,null
29000120,2.60,6.00,2.60,2.75,2.50,3.25,2.83,null,null,null,null
29000121,8.60,6.25,9.60,8.50,6.00,3.75,6.08,null,null,null,null
29000122,9.00,7.00,8.80,8.25,9.75,4.25,7.42,null,null,null,null
29000123,8.60,6.50,7.00,8.75,8.25,4.00,7.00,null,null,null,null
29000124,8.20,7.50,9.00,8.50,3.25,4.25,5.33,null,null,null,null
29000125,8.60,6.00,8.00,7.50,7.75,6.00,7.08,null,null,null,null
29000126,8.00,6.75,8.20,2.50,7.50,3.25,4.42,null,null,null,null
29000127,8.40,4.75,null,3.75,8.50,3.50,5.25,null,null,null,null
29000128,8.80,6.25,9.20,8.00,5.00,3.75,5.58,null,null,null,null
29000129,6.60,7.75,null,null,null,null,null,5.75,8.00,null,4.58
29000130,4.20,6.50,null,null,null,null,null,5.00,5.75,null,3.58
29000131,5.60,6.00,null,null,null,null,null,6.25,6.50,null,4.25
29000132,5.00,8.00,9.20,null,null,null,null,5.00,6.50,9.75,7.08
29000133,8.20,8.25,7.60,4.00,7.75,8.50,6.75,null,null,null,null
29000134,8.60,9.00,10.00,null,null,null,null,5.75,7.25,8.50,7.17
29000135,4.20,8.25,null,null,null,null,null,5.50,5.50,null,3.67
29000136,7.80,8.25,8.80,null,null,null,null,null,null,null,null
29000137,7.60,9.00,9.60,null,null,null,null,5.00,7.00,8.50,6.83
29000138,8.60,9.50,9.40,null,null,null,null,6.75,7.25,9.75,7.92
29000139,8.40,9.25,9.60,null,null,null,null,5.50,7.25,8.00,6.92
29000140,5.80,7.75,5.20,null,null,null,null,4.25,4.00,5.00,4.42
29000141,6.80,8.50,7.60,null,null,null,null,4.50,7.00,8.00,6.50
29000142,5.80,6.50,null,null,null,null,null,6.25,6.50,null,4.25
29000143,4.00,6.50,null,null,null,null,null,7.25,7.50,null,4.92
29000144,5.20,8.00,null,null,null,null,null,7.75,8.50,null,5.42
29000145,3.80,4.00,null,null,null,null,null,4.25,5.75,null,3.33
29000146,7.60,6.50,8.80,6.50,8.25,6.25,7.00,null,null,null,null
29000147,3.20,5.25,null,null,null,null,null,5.00,7.00,null,4.00
29000148,8.20,7.25,8.60,8.00,6.50,6.25,6.92,null,null,null,null
29000149,8.60,3.75,5.60,4.25,8.25,8.00,6.83,null,null,null,null
29000150,7.40,4.25,9.40,7.00,4.50,3.50,5.00,null,null,null,null
29000151,7.80,9.00,9.40,null,null,null,null,7.75,7.25,8.75,7.92
29000152,9.20,4.75,5.40,8.25,9.00,5.50,7.58,null,null,null,null
29000153,9.00,8.00,6.80,9.25,7.50,5.75,7.50,null,null,null,null
29000154,7.80,6.75,8.40,8.00,2.00,3.50,4.50,null,null,null,null
29000155,1.80,6.25,null,null,null,null,null,2.75,5.25,null,2.67
29000156,8.00,8.00,8.40,8.00,4.50,3.50,5.33,null,null,null,null
29000157,2.60,7.00,null,null,null,null,null,2.50,4.25,null,2.25
29000158,2.60,6.00,null,null,null,null,null,5.75,7.75,null,4.50
29000159,9.20,9.75,10.00,null,null,null,null,4.50,7.00,8.25,6.58
29000160,8.80,6.75,9.60,5.00,8.25,3.25,5.50,null,null,null,null
29000161,8.80,8.25,9.40,7.00,5.75,5.50,6.08,null,null,null,null
29000162,3.20,7.75,null,null,null,null,null,3.75,6.75,null,3.50
29000163,3.60,6.50,null,null,null,null,null,4.75,7.25,null,4.00
29000164,6.20,3.00,null,null,null,null,null,null,null,null,null
29000165,6.60,5.00,6.60,5.00,4.50,3.25,4.25,null,null,null,null
29000166,7.40,8.75,7.60,null,null,null,null,2.50,6.50,8.25,5.75
29000167,2.20,5.75,null,null,null,null,null,5.25,7.25,null,4.17
29000168,9.40,6.25,9.20,9.00,5.00,6.75,6.92,null,null,null,null
29000169,6.40,7.00,8.80,null,null,null,null,1.75,4.25,7.75,4.58
29000170,8.00,8.50,8.60,null,null,null,null,5.25,6.25,8.00,6.50
29000171,8.80,5.00,9.00,8.50,5.75,4.50,6.25,null,null,null,null
29000172,7.20,7.00,7.00,4.50,8.00,7.25,6.58,null,null,null,null
29000173,5.00,6.00,null,null,null,null,null,6.25,7.25,null,4.50
29000174,8.00,9.25,9.80,null,null,null,null,3.75,7.00,9.50,6.75
29000175,8.20,9.00,7.80,5.50,4.50,null,3.33,null,null,null,null
29000176,9.20,6.75,5.20,7.75,8.00,4.25,6.67,null,null,null,null
29000177,3.20,4.83,null,null,null,null,null,4.75,5.75,null,3.50
29000178,8.60,8.25,6.20,8.25,8.75,4.50,7.17,null,null,null,null
29000179,8.40,8.25,9.20,7.75,9.00,4.75,7.17,null,null,null,null
29000180,8.40,null,null,2.00,8.25,8.25,6.17,null,null,null,null
29000181,8.20,7.75,8.80,null,null,null,null,5.25,6.75,8.75,6.92
29000182,2.40,7.75,null,null,null,null,null,4.75,5.50,null,3.42
29000183,9.20,8.50,9.20,null,null,null,null,6.50,7.00,8.25,7.25
29000184,9.80,6.00,9.40,8.50,9.00,6.25,7.92,null,null,null,null
29000185,4.00,6.75,null,null,null,null,null,7.25,7.50,null,4.92
